,mainGrid,otherGrids,hourOfDay
0,117.4,127.0,0
1,139.1,126.0,1
2,128.0,120.0,2
3,127.0,112.0,3
4,122.8,110.0,4
5,123.8,109.0,5
6,128.3,114.0,6
7,129.3,119.0,7
8,132.3,122.0,8
9,125.8,114.0,9
10,131.8,121.0,10
11,138.8,127.0,11
12,145.8,133.0,12
13,139.8,127.0,13
14,133.9,117.0,14
15,131.4,120.0,15
16,128.4,119.0,16
17,138.4,129.0,17
18,170.1,159.0,18
19,176.3,166.0,19
20,181.3,169.0,20
21,178.8,170.0,21
22,165.3,152.0,22
23,154.3,141.0,23
24,140.3,125.0,0
25,126.9,118.0,1
26,122.0,111.0,2
27,117.3,108.0,3
28,120.8,107.0,4
29,128.3,119.0,5
30,143.8,132.0,6
31,182.3,161.0,7
32,203.3,186.0,8
33,225.3,209.0,9
34,236.3,216.0,10
35,233.1,218.0,11
36,235.1,216.0,12
37,210.6,194.0,13
38,213.6,200.0,14
39,214.6,198.0,15
40,213.6,199.0,16
41,229.6,209.0,17
42,254.6,234.0,18
43,253.6,230.0,19
44,226.1,208.0,20
45,212.6,199.0,21
46,192.6,180.0,22
47,177.6,167.0,23
48,161.1,149.0,0
49,145.2,134.0,1
50,135.4,130.0,2
51,125.7,120.0,3
52,131.0,119.0,4
53,149.0,130.0,5
54,149.5,142.0,6
55,186.0,171.0,7
56,219.8,208.0,8
57,248.8,234.0,9
58,250.8,237.0,10
59,246.3,232.0,11
60,235.3,221.0,12
61,212.8,201.0,13
62,212.3,199.0,14
63,221.8,207.0,15
64,225.8,217.0,16
65,234.3,228.0,17
66,263.8,243.0,18
67,253.8,241.0,19
68,232.8,220.0,20
69,217.3,206.0,21
70,195.3,185.0,22
71,182.3,178.0,23
72,163.3,152.0,0
73,148.5,144.0,1
74,140.5,132.0,2
75,141.5,130.0,3
76,138.5,123.0,4
77,145.5,135.0,5
78,152.0,146.0,6
79,193.0,178.0,7
80,221.5,216.0,8
81,247.0,234.0,9
82,254.5,247.0,10
83,239.5,230.0,11
84,237.0,229.0,12
85,217.0,203.0,13
86,218.5,206.0,14
87,224.5,212.0,15
88,230.0,215.0,16
89,236.0,222.0,17
90,258.0,244.0,18
91,258.0,242.0,19
92,239.0,220.0,20
93,223.5,208.0,21
94,195.0,187.0,22
95,185.5,177.0,23
96,168.4,160.0,0
97,150.9,147.0,1
98,135.9,132.0,2
99,134.1,128.0,3
100,139.1,137.0,4
101,145.9,136.0,5
102,152.1,146.0,6
103,194.1,184.0,7
104,220.3,215.0,8
105,246.8,237.0,9
106,252.8,246.0,10
107,247.3,234.0,11
108,241.7,229.0,12
109,226.7,212.0,13
110,226.0,207.0,14
111,224.5,214.0,15
112,233.4,212.0,16
113,232.9,219.0,17
114,262.7,244.0,18
115,254.7,234.0,19
116,239.4,219.0,20
117,223.4,199.0,21
118,196.9,182.0,22
119,182.9,165.0,23
120,184.2,155.0,0
121,161.7,137.0,1
122,149.7,125.0,2
123,145.7,116.0,3
124,146.7,122.0,4
125,134.9,119.0,5
126,144.9,125.0,6
127,151.4,137.0,7
128,169.4,148.0,8
129,165.9,143.0,9
130,173.9,156.0,10
131,179.4,165.0,11
132,179.7,163.0,12
133,166.9,153.0,13
134,157.4,141.0,14
135,160.4,144.0,15
